HITId,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.storageLink,Input.tags,Answer.nomore,Answer.notpossible,Answer.selectedtags_tags
12,1,5,Mon Nov 25 05:17:47 PST 2019,Mon Nov 25 05:19:52 PST 2019,125,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""auto show"",""event"",""conversation""]"
12,2,3,Mon Nov 25 05:17:23 PST 2019,Mon Nov 25 05:19:43 PST 2019,140,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""auto show"",""event"",""automotive lighting""]"
12,3,18,Mon Nov 25 05:05:14 PST 2019,Mon Nov 25 05:12:19 PST 2019,425,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""advertising"",""automotive lighting"",""auto show""]"
12,4,8,Mon Nov 25 05:30:49 PST 2019,Mon Nov 25 05:36:13 PST 2019,324,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""advertising"",""event"",""auto show""]"
12,5,9,Mon Nov 25 05:11:18 PST 2019,Mon Nov 25 05:24:39 PST 2019,801,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""auto show"",""event"",""conversation""]"
12,6,12,Mon Nov 25 05:05:35 PST 2019,Mon Nov 25 05:09:55 PST 2019,260,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""advertising"",""auto show"",""event""]"
12,7,19,Mon Nov 25 05:06:44 PST 2019,Mon Nov 25 05:20:41 PST 2019,837,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""public speaking"",""communication"",""auto show"",""entertainment"",""film"",""event"",""conversation""]"
12,8,14,Mon Nov 25 05:12:19 PST 2019,Mon Nov 25 05:15:08 PST 2019,169,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""auto show"",""advertising"",""event""]"
12,9,13,Mon Nov 25 05:08:48 PST 2019,Mon Nov 25 05:10:39 PST 2019,111,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""event"",""auto show"",""automotive lighting""]"
12,10,24,Mon Nov 25 05:09:27 PST 2019,Mon Nov 25 05:20:40 PST 2019,673,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""performance"",""advertising"",""event""]"
12,11,4,Mon Nov 25 05:17:11 PST 2019,Mon Nov 25 05:31:02 PST 2019,831,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""auto show"",""event"",""performance"",""advertising""]"
12,12,20,Mon Nov 25 05:15:59 PST 2019,Mon Nov 25 05:17:55 PST 2019,116,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""advertising"",""auto show"",""automotive lighting""]"
12,13,11,Mon Nov 25 05:05:25 PST 2019,Mon Nov 25 05:11:45 PST 2019,380,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""automotive lighting"",""event"",""performance""]"
12,14,1,Mon Nov 25 05:06:10 PST 2019,Mon Nov 25 05:15:44 PST 2019,574,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""performance"",""advertising"",""auto show""]"
12,15,25,Mon Nov 25 05:05:08 PST 2019,Mon Nov 25 05:22:46 PST 2019,1058,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""auto show"",""automotive lighting"",""advertising""]"
7,16,13,Mon Nov 25 05:08:50 PST 2019,Mon Nov 25 05:09:53 PST 2019,63,j_70OVLHHPc.mp4,3d modeling_###_wing_###_smoking_###_aquarium lighting_###_product design_###_comedy_###_ceiling_###_lighting_###_digital compositing_###_convention_###_driving_###_presentation_###_exhibition,{},{},"[""lighting"",""driving"",""exhibition""]"
7,17,8,Mon Nov 25 05:19:36 PST 2019,Mon Nov 25 05:31:15 PST 2019,699,j_70OVLHHPc.mp4,3d modeling_###_wing_###_smoking_###_aquarium lighting_###_product design_###_comedy_###_ceiling_###_lighting_###_digital compositing_###_convention_###_driving_###_presentation_###_exhibition,{},{},"[""exhibition"",""presentation"",""convention"",""product design""]"
7,18,9,Mon Nov 25 05:13:55 PST 2019,Mon Nov 25 05:29:08 PST 2019,913,j_70OVLHHPc.mp4,3d modeling_###_wing_###_smoking_###_aquarium lighting_###_product design_###_comedy_###_ceiling_###_lighting_###_digital compositing_###_convention_###_driving_###_presentation_###_exhibition,No other tags have anything to do with the video,{},"[""presentation"",""driving""]"
7,19,22,Mon Nov 25 05:20:24 PST 2019,Mon Nov 25 05:26:32 PST 2019,368,j_70OVLHHPc.mp4,3d modeling_###_wing_###_smoking_###_aquarium lighting_###_product design_###_comedy_###_ceiling_###_lighting_###_digital compositing_###_convention_###_driving_###_presentation_###_exhibition,{},{},"[""exhibition"",""convention"",""product design"",""presentation"",""driving""]"
7,20,14,Mon Nov 25 05:12:32 PST 2019,Mon Nov 25 05:25:07 PST 2019,755,j_70OVLHHPc.mp4,3d modeling_###_wing_###_smoking_###_aquarium lighting_###_product design_###_comedy_###_ceiling_###_lighting_###_digital compositing_###_convention_###_driving_###_presentation_###_exhibition,{},{},"[""presentation"",""convention"",""exhibition""]"
7,21,19,Mon Nov 25 05:06:36 PST 2019,Mon Nov 25 05:12:48 PST 2019,372,j_70OVLHHPc.mp4,3d modeling_###_wing_###_smoking_###_aquarium lighting_###_product design_###_comedy_###_ceiling_###_lighting_###_digital compositing_###_convention_###_driving_###_presentation_###_exhibition,{},{},"[""product design"",""presentation"",""digital compositing"",""exhibition"",""driving"",""convention"",""3d modeling"",""lighting""]"
7,22,24,Mon Nov 25 05:09:25 PST 2019,Mon Nov 25 05:18:00 PST 2019,515,j_70OVLHHPc.mp4,3d modeling_###_wing_###_smoking_###_aquarium lighting_###_product design_###_comedy_###_ceiling_###_lighting_###_digital compositing_###_convention_###_driving_###_presentation_###_exhibition,{},{},"[""3d modeling"",""convention"",""presentation"",""driving"",""exhibition"",""product design""]"
7,23,2,Mon Nov 25 05:31:01 PST 2019,Mon Nov 25 05:50:31 PST 2019,1170,j_70OVLHHPc.mp4,3d modeling_###_wing_###_smoking_###_aquarium lighting_###_product design_###_comedy_###_ceiling_###_lighting_###_digital compositing_###_convention_###_driving_###_presentation_###_exhibition,{},{},"[""3d modeling"",""digital compositing"",""driving""]"
7,24,4,Mon Nov 25 05:08:38 PST 2019,Mon Nov 25 05:10:32 PST 2019,114,j_70OVLHHPc.mp4,3d modeling_###_wing_###_smoking_###_aquarium lighting_###_product design_###_comedy_###_ceiling_###_lighting_###_digital compositing_###_convention_###_driving_###_presentation_###_exhibition,{},{},"[""exhibition"",""product design"",""presentation"",""driving""]"
7,25,11,Mon Nov 25 05:05:14 PST 2019,Mon Nov 25 05:07:47 PST 2019,153,j_70OVLHHPc.mp4,3d modeling_###_wing_###_smoking_###_aquarium lighting_###_product design_###_comedy_###_ceiling_###_lighting_###_digital compositing_###_convention_###_driving_###_presentation_###_exhibition,{},{},"[""3d modeling"",""lighting"",""driving""]"
7,26,5,Mon Nov 25 05:26:43 PST 2019,Mon Nov 25 05:31:44 PST 2019,301,j_70OVLHHPc.mp4,3d modeling_###_wing_###_smoking_###_aquarium lighting_###_product design_###_comedy_###_ceiling_###_lighting_###_digital compositing_###_convention_###_driving_###_presentation_###_exhibition,{},{},"[""presentation"",""convention"",""exhibition""]"
7,27,21,Mon Nov 25 05:21:25 PST 2019,Mon Nov 25 05:23:26 PST 2019,121,j_70OVLHHPc.mp4,3d modeling_###_wing_###_smoking_###_aquarium lighting_###_product design_###_comedy_###_ceiling_###_lighting_###_digital compositing_###_convention_###_driving_###_presentation_###_exhibition,{},{},"[""presentation"",""exhibition"",""product design""]"
7,28,1,Mon Nov 25 05:06:12 PST 2019,Mon Nov 25 05:16:52 PST 2019,640,j_70OVLHHPc.mp4,3d modeling_###_wing_###_smoking_###_aquarium lighting_###_product design_###_comedy_###_ceiling_###_lighting_###_digital compositing_###_convention_###_driving_###_presentation_###_exhibition,{},{},"[""driving"",""convention"",""presentation"",""product design""]"
7,29,12,Mon Nov 25 05:05:40 PST 2019,Mon Nov 25 05:12:48 PST 2019,428,j_70OVLHHPc.mp4,3d modeling_###_wing_###_smoking_###_aquarium lighting_###_product design_###_comedy_###_ceiling_###_lighting_###_digital compositing_###_convention_###_driving_###_presentation_###_exhibition,{},{},"[""convention"",""driving"",""exhibition"",""presentation""]"
7,30,18,Mon Nov 25 05:05:18 PST 2019,Mon Nov 25 05:15:25 PST 2019,607,j_70OVLHHPc.mp4,3d modeling_###_wing_###_smoking_###_aquarium lighting_###_product design_###_comedy_###_ceiling_###_lighting_###_digital compositing_###_convention_###_driving_###_presentation_###_exhibition,{},{},"[""driving"",""product design"",""exhibition"",""3d modeling"",""presentation""]"
1,31,12,Mon Nov 25 05:05:45 PST 2019,Mon Nov 25 05:18:28 PST 2019,763,vuk9mP0Vz7M.mp4,Silver Jubilee_###_news conference_###_advertising_###_convention_###_communication_###_entertainment_###_film_###_games_###_singing_###_presentation,{},{},"[""presentation"",""entertainment"",""communication""]"
1,32,24,Mon Nov 25 05:09:26 PST 2019,Mon Nov 25 05:20:48 PST 2019,682,vuk9mP0Vz7M.mp4,Silver Jubilee_###_news conference_###_advertising_###_convention_###_communication_###_entertainment_###_film_###_games_###_singing_###_presentation,{},{},"[""presentation"",""communication"",""entertainment""]"
1,33,19,Mon Nov 25 05:06:31 PST 2019,Mon Nov 25 05:10:47 PST 2019,256,vuk9mP0Vz7M.mp4,Silver Jubilee_###_news conference_###_advertising_###_convention_###_communication_###_entertainment_###_film_###_games_###_singing_###_presentation,{},{},"[""communication"",""news conference"",""entertainment"",""convention"",""presentation""]"
1,34,11,Mon Nov 25 05:05:16 PST 2019,Mon Nov 25 05:08:18 PST 2019,182,vuk9mP0Vz7M.mp4,Silver Jubilee_###_news conference_###_advertising_###_convention_###_communication_###_entertainment_###_film_###_games_###_singing_###_presentation,{},{},"[""presentation"",""news conference"",""communication""]"
