HITId,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.storageLink,Input.tags,Answer.nomore,Answer.notpossible,Answer.selectedtags_tags
14,1,17,Mon Oct 05 06:30:23 PDT 2020,Mon Oct 05 06:48:40 PDT 2020,1097,j_70OVLHHPc.mp4,passenger_###_3d modeling_###_official_###_visual effects_###_crowd_###_emotion_###_professional_###_laughter,{},{},"[""passenger"",""professional"",""official""]"
14,2,4,Mon Oct 05 06:18:25 PDT 2020,Mon Oct 05 06:37:03 PDT 2020,1118,j_70OVLHHPc.mp4,passenger_###_3d modeling_###_official_###_visual effects_###_crowd_###_emotion_###_professional_###_laughter,{},{},"[""passenger"",""official"",""visual effects""]"
14,3,2,Mon Oct 05 06:40:01 PDT 2020,Mon Oct 05 06:47:18 PDT 2020,437,j_70OVLHHPc.mp4,passenger_###_3d modeling_###_official_###_visual effects_###_crowd_###_emotion_###_professional_###_laughter,{},{},"[""professional"",""passenger"",""crowd""]"
14,4,22,Mon Oct 05 06:18:20 PDT 2020,Mon Oct 05 06:24:18 PDT 2020,358,j_70OVLHHPc.mp4,passenger_###_3d modeling_###_official_###_visual effects_###_crowd_###_emotion_###_professional_###_laughter,{},"This is about a concept car so those terms relating to automotive, entrepreneurs and inventors would be more appropriate.",[]
14,5,16,Mon Oct 05 06:38:36 PDT 2020,Mon Oct 05 06:40:51 PDT 2020,135,j_70OVLHHPc.mp4,passenger_###_3d modeling_###_official_###_visual effects_###_crowd_###_emotion_###_professional_###_laughter,{},{},"[""professional"",""crowd"",""passenger""]"
14,6,8,Mon Oct 05 06:34:34 PDT 2020,Mon Oct 05 06:43:39 PDT 2020,545,j_70OVLHHPc.mp4,passenger_###_3d modeling_###_official_###_visual effects_###_crowd_###_emotion_###_professional_###_laughter,no other tags are related to the clip and about people,{},"[""professional""]"
14,7,18,Mon Oct 05 06:27:32 PDT 2020,Mon Oct 05 06:34:56 PDT 2020,444,j_70OVLHHPc.mp4,passenger_###_3d modeling_###_official_###_visual effects_###_crowd_###_emotion_###_professional_###_laughter,The other tags do not refer to any people shown or mentioned in the video.,{},"[""official"",""professional""]"
14,8,14,Mon Oct 05 06:37:35 PDT 2020,Mon Oct 05 06:39:35 PDT 2020,120,j_70OVLHHPc.mp4,passenger_###_3d modeling_###_official_###_visual effects_###_crowd_###_emotion_###_professional_###_laughter,{},{},"[""professional"",""visual effects"",""passenger""]"
14,9,13,Mon Oct 05 06:18:51 PDT 2020,Mon Oct 05 06:26:00 PDT 2020,429,j_70OVLHHPc.mp4,passenger_###_3d modeling_###_official_###_visual effects_###_crowd_###_emotion_###_professional_###_laughter,{},{},"[""professional"",""passenger"",""crowd""]"
14,10,7,Mon Oct 05 06:18:08 PDT 2020,Mon Oct 05 06:21:29 PDT 2020,201,j_70OVLHHPc.mp4,passenger_###_3d modeling_###_official_###_visual effects_###_crowd_###_emotion_###_professional_###_laughter,{},{},"[""crowd"",""official"",""passenger"",""professional""]"
14,11,5,Mon Oct 05 06:18:16 PDT 2020,Mon Oct 05 06:27:47 PDT 2020,571,j_70OVLHHPc.mp4,passenger_###_3d modeling_###_official_###_visual effects_###_crowd_###_emotion_###_professional_###_laughter,{},{},"[""crowd"",""3d modeling"",""passenger""]"
14,12,11,Mon Oct 05 06:25:39 PDT 2020,Mon Oct 05 06:28:27 PDT 2020,168,j_70OVLHHPc.mp4,passenger_###_3d modeling_###_official_###_visual effects_###_crowd_###_emotion_###_professional_###_laughter,{},The one tag that really is a part of the tags is crowd but there are no other 3.,[]
14,13,3,Mon Oct 05 06:19:26 PDT 2020,Mon Oct 05 06:24:51 PDT 2020,325,j_70OVLHHPc.mp4,passenger_###_3d modeling_###_official_###_visual effects_###_crowd_###_emotion_###_professional_###_laughter,{},{},"[""passenger"",""professional"",""official""]"
