HITId,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.storageLink,Input.tags,Answer.nomore,Answer.notpossible,Answer.selectedtags_tags
1,1,21,Tue Sep 10 07:18:14 PDT 2019,Tue Sep 10 07:21:16 PDT 2019,182,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""event"",""auto show"",""performance"",""advertising""]"
1,2,8,Tue Sep 10 07:16:31 PDT 2019,Tue Sep 10 07:20:50 PDT 2019,259,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""advertising"",""auto show"",""event""]"
1,3,12,Tue Sep 10 07:16:21 PDT 2019,Tue Sep 10 07:19:16 PDT 2019,175,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,other tags are not events or have no meaningful relevance to the content,{},"[""auto show""]"
1,4,10,Tue Sep 10 07:16:45 PDT 2019,Tue Sep 10 07:22:38 PDT 2019,353,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""automotive lighting"",""performance"",""auto show""]"
1,5,13,Tue Sep 10 07:17:02 PDT 2019,Tue Sep 10 07:26:30 PDT 2019,568,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""event"",""auto show"",""automotive lighting"",""advertising"",""performance"",""entertainment""]"
1,6,27,Tue Sep 10 07:16:26 PDT 2019,Tue Sep 10 07:36:15 PDT 2019,1189,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""automotive lighting"",""advertising"",""auto show""]"
1,7,15,Tue Sep 10 07:16:49 PDT 2019,Tue Sep 10 07:17:56 PDT 2019,67,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""event"",""public speaking"",""auto show"",""performance""]"
1,8,9,Tue Sep 10 07:19:24 PDT 2019,Tue Sep 10 07:22:56 PDT 2019,212,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""advertising"",""entertainment"",""auto show""]"
1,9,24,Tue Sep 10 07:17:05 PDT 2019,Tue Sep 10 07:22:59 PDT 2019,354,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""automotive lighting"",""auto show"",""event"",""advertising""]"
1,10,7,Tue Sep 10 07:17:31 PDT 2019,Tue Sep 10 07:26:03 PDT 2019,512,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""automotive lighting"",""event"",""auto show""]"
1,11,3,Tue Sep 10 07:17:14 PDT 2019,Tue Sep 10 07:26:33 PDT 2019,559,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""automotive lighting"",""auto show"",""event"",""advertising""]"
1,12,25,Tue Sep 10 07:22:27 PDT 2019,Tue Sep 10 07:38:48 PDT 2019,981,j_70OVLHHPc.mp4,hair coloring_###_entertainment_###_auto show_###_event_###_communication_###_conversation_###_performance_###_advertising_###_film_###_acrobatics_###_public speaking_###_automotive lighting,{},{},"[""event"",""automotive lighting"",""auto show""]"
