ItemIndex,Item,Repetition,Rater,RaterIndex,Relevance
1,j_70OVLHHPc.mp4-emotion,Repetition 1,2,2,0
1,j_70OVLHHPc.mp4-emotion,Repetition 1,5,5,0
1,j_70OVLHHPc.mp4-emotion,Repetition 1,6,6,0
1,j_70OVLHHPc.mp4-emotion,Repetition 1,7,7,0
1,j_70OVLHHPc.mp4-emotion,Repetition 1,8,8,0
1,j_70OVLHHPc.mp4-emotion,Repetition 1,10,10,0
1,j_70OVLHHPc.mp4-emotion,Repetition 1,15,15,0
1,j_70OVLHHPc.mp4-emotion,Repetition 1,16,16,0
1,j_70OVLHHPc.mp4-emotion,Repetition 1,20,20,0
1,j_70OVLHHPc.mp4-emotion,Repetition 1,22,22,0
1,j_70OVLHHPc.mp4-emotion,Repetition 1,23,23,0
1,j_70OVLHHPc.mp4-emotion,Repetition 1,24,24,0
1,j_70OVLHHPc.mp4-emotion,Repetition 1,28,28,0
1,j_70OVLHHPc.mp4-emotion,Repetition 1,33,33,0
1,j_70OVLHHPc.mp4-emotion,Repetition 1,34,34,0
2,j_70OVLHHPc.mp4-tire,Repetition 1,2,2,1
2,j_70OVLHHPc.mp4-tire,Repetition 1,5,5,1
2,j_70OVLHHPc.mp4-tire,Repetition 1,6,6,0
2,j_70OVLHHPc.mp4-tire,Repetition 1,7,7,1
2,j_70OVLHHPc.mp4-tire,Repetition 1,8,8,1
2,j_70OVLHHPc.mp4-tire,Repetition 1,10,10,1
2,j_70OVLHHPc.mp4-tire,Repetition 1,15,15,1
2,j_70OVLHHPc.mp4-tire,Repetition 1,16,16,0
2,j_70OVLHHPc.mp4-tire,Repetition 1,20,20,1
2,j_70OVLHHPc.mp4-tire,Repetition 1,22,22,0
2,j_70OVLHHPc.mp4-tire,Repetition 1,23,23,0
2,j_70OVLHHPc.mp4-tire,Repetition 1,24,24,0
2,j_70OVLHHPc.mp4-tire,Repetition 1,28,28,1
2,j_70OVLHHPc.mp4-tire,Repetition 1,33,33,1
2,j_70OVLHHPc.mp4-tire,Repetition 1,34,34,1
3,j_70OVLHHPc.mp4-comedy,Repetition 1,2,2,0
3,j_70OVLHHPc.mp4-comedy,Repetition 1,5,5,0
3,j_70OVLHHPc.mp4-comedy,Repetition 1,6,6,0
3,j_70OVLHHPc.mp4-comedy,Repetition 1,7,7,0
3,j_70OVLHHPc.mp4-comedy,Repetition 1,8,8,0
3,j_70OVLHHPc.mp4-comedy,Repetition 1,10,10,0
3,j_70OVLHHPc.mp4-comedy,Repetition 1,15,15,0
3,j_70OVLHHPc.mp4-comedy,Repetition 1,16,16,0
3,j_70OVLHHPc.mp4-comedy,Repetition 1,20,20,0
3,j_70OVLHHPc.mp4-comedy,Repetition 1,22,22,0
3,j_70OVLHHPc.mp4-comedy,Repetition 1,23,23,0
3,j_70OVLHHPc.mp4-comedy,Repetition 1,24,24,0
3,j_70OVLHHPc.mp4-comedy,Repetition 1,28,28,0
3,j_70OVLHHPc.mp4-comedy,Repetition 1,33,33,0
3,j_70OVLHHPc.mp4-comedy,Repetition 1,34,34,0
4,j_70OVLHHPc.mp4-hair,Repetition 1,2,2,0
4,j_70OVLHHPc.mp4-hair,Repetition 1,5,5,0
4,j_70OVLHHPc.mp4-hair,Repetition 1,6,6,0
4,j_70OVLHHPc.mp4-hair,Repetition 1,7,7,0
4,j_70OVLHHPc.mp4-hair,Repetition 1,8,8,0
4,j_70OVLHHPc.mp4-hair,Repetition 1,10,10,0
4,j_70OVLHHPc.mp4-hair,Repetition 1,15,15,0
4,j_70OVLHHPc.mp4-hair,Repetition 1,16,16,0
4,j_70OVLHHPc.mp4-hair,Repetition 1,20,20,0
4,j_70OVLHHPc.mp4-hair,Repetition 1,22,22,0
4,j_70OVLHHPc.mp4-hair,Repetition 1,23,23,0
4,j_70OVLHHPc.mp4-hair,Repetition 1,24,24,0
4,j_70OVLHHPc.mp4-hair,Repetition 1,28,28,0
4,j_70OVLHHPc.mp4-hair,Repetition 1,33,33,0
4,j_70OVLHHPc.mp4-hair,Repetition 1,34,34,0
5,j_70OVLHHPc.mp4-automotive mirror,Repetition 1,2,2,0
5,j_70OVLHHPc.mp4-automotive mirror,Repetition 1,5,5,0
5,j_70OVLHHPc.mp4-automotive mirror,Repetition 1,6,6,0
5,j_70OVLHHPc.mp4-automotive mirror,Repetition 1,7,7,1
5,j_70OVLHHPc.mp4-automotive mirror,Repetition 1,8,8,1
5,j_70OVLHHPc.mp4-automotive mirror,Repetition 1,10,10,0
5,j_70OVLHHPc.mp4-automotive mirror,Repetition 1,15,15,0
5,j_70OVLHHPc.mp4-automotive mirror,Repetition 1,16,16,1
5,j_70OVLHHPc.mp4-automotive mirror,Repetition 1,20,20,1
5,j_70OVLHHPc.mp4-automotive mirror,Repetition 1,22,22,0
5,j_70OVLHHPc.mp4-automotive mirror,Repetition 1,23,23,0
